epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9778,1.85917,4.3836,1.95016,0.00485,0.5,0.08292,0.07255,1.96802,4.39718,2.24002,1.111e-05,1.111e-05,1.111e-05
2,20.066,2.06463,4.72101,2.41035,0.00461,0.5,0.11845,0.10092,1.90371,4.43632,2.17352,3.26701e-05,3.26701e-05,3.26701e-05
3,25.1552,1.86764,4.04022,1.87186,0.00425,0.5,0.16583,0.14542,1.8834,4.41631,2.12701,5.33502e-05,5.33502e-05,5.33502e-05
4,30.179,1.60663,3.95506,1.7349,0.0041,0.5,0.37312,0.32337,1.72474,4.37747,2.01827,7.31505e-05,7.31505e-05,7.31505e-05
5,34.9658,1.71057,4.02689,1.77731,0.00419,0.5,0.37312,0.33581,1.49904,4.22847,1.89951,9.20708e-05,9.20708e-05,9.20708e-05
6,39.7693,1.51441,4.16436,1.71257,0.00408,0.5,0.24875,0.21144,1.46275,4.12566,1.85951,0.000110111,0.000110111,0.000110111
7,44.7744,1.31286,3.73393,1.52994,0.00413,0.5,0.37312,0.2985,1.32483,4.06708,1.7973,0.000127272,0.000127272,0.000127272
8,49.5236,1.37666,3.74284,1.60442,0.00424,0.5,0.37312,0.2985,1.19457,4.02808,1.73065,0.000143552,0.000143552,0.000143552
9,54.2712,1.32685,3.78422,1.50367,0.00454,0.5,0.37312,0.27363,1.07225,4.02153,1.65395,0.000158953,0.000158953,0.000158953
10,59.1423,1.17788,3.6693,1.51039,0.00433,0.5,0.37312,0.29435,1.10545,4.00102,1.6061,0.000173474,0.000173474,0.000173474
11,64.0685,1.18466,3.25559,1.38956,0.00476,0.5,0.4975,0.33996,1.10093,3.98784,1.57845,0.000187115,0.000187115,0.000187115
12,68.7958,1.18113,3.46004,1.42331,0.00476,0.5,0.4975,0.33996,1.10093,3.98784,1.57845,0.000199876,0.000199876,0.000199876
13,73.7076,1.10517,3.13589,1.30409,0.0051,0.5,0.4975,0.31094,1.01019,3.94403,1.51463,0.000211757,0.000211757,0.000211757
14,78.6759,1.25214,3.15322,1.45028,0.00566,0.5,0.4975,0.2985,0.91375,3.90962,1.41838,0.000222758,0.000222758,0.000222758
15,83.4415,1.29931,2.96316,1.4057,0.00566,0.5,0.4975,0.2985,0.91375,3.90962,1.41838,0.000232879,0.000232879,0.000232879
16,88.2662,1.21248,2.70335,1.33495,0.00555,0.5,0.4975,0.31094,1.02106,3.87127,1.47076,0.00024212,0.00024212,0.00024212
17,93.0804,1.11893,2.68476,1.31418,0.00841,0.75,0.50832,0.30688,1.20273,3.80781,1.60094,0.000250482,0.000250482,0.000250482
18,98.0346,1.13376,2.70395,1.3769,0.00841,0.75,0.50832,0.30688,1.20273,3.80781,1.60094,0.000257963,0.000257963,0.000257963
19,103.146,1.12928,2.9389,1.3616,0.00865,0.75,0.52238,0.35986,1.10875,3.64366,1.53016,0.000264565,0.000264565,0.000264565
20,108.535,1.23788,2.63767,1.42166,0.00865,0.75,0.52238,0.35986,1.10875,3.64366,1.53016,0.000270286,0.000270286,0.000270286
21,113.674,1.25444,2.91602,1.42157,0.00951,0.75,0.62187,0.55969,1.0667,3.5363,1.47026,0.000275128,0.000275128,0.000275128
22,118.63,0.94017,2.11675,1.21885,0.00951,0.75,0.62187,0.55969,1.0667,3.5363,1.47026,0.00027909,0.00027909,0.00027909
23,123.49,1.12209,2.26569,1.29081,0.01096,0.75,0.74625,0.64675,1.00035,3.50555,1.44758,0.000282172,0.000282172,0.000282172
24,128.622,1.26477,1.99046,1.3619,0.01096,0.75,0.74625,0.64675,1.00035,3.50555,1.44758,0.000284374,0.000284374,0.000284374
25,133.662,1.21551,2.45909,1.35599,0.01193,0.75,0.58042,0.46433,1.01313,3.49002,1.42144,0.000285696,0.000285696,0.000285696
26,138.828,0.95497,1.95418,1.20836,0.01193,0.75,0.58042,0.46433,1.01313,3.49002,1.42144,0.000286138,0.000286138,0.000286138
27,143.866,0.94115,1.86347,1.2131,0.01193,0.75,0.58042,0.46433,1.01313,3.49002,1.42144,0.0002857,0.0002857,0.0002857
28,148.73,1.14958,2.00349,1.25171,0.01179,0.75,0.55969,0.44153,1.09297,3.47176,1.49418,0.000284383,0.000284383,0.000284383
29,153.554,1.00575,1.80533,1.2698,0.01179,0.75,0.55969,0.44153,1.09297,3.47176,1.49418,0.000282185,0.000282185,0.000282185
30,158.39,1.15656,1.95028,1.31088,0.0124,0.75,0.58042,0.46433,1.08733,3.42366,1.49163,0.000279108,0.000279108,0.000279108
31,163.185,1.29443,1.90446,1.37271,0.0124,0.75,0.58042,0.46433,1.08733,3.42366,1.49163,0.00027515,0.00027515,0.00027515
32,168.063,1.04573,1.97047,1.25711,0.0124,0.75,0.58042,0.46433,1.08733,3.42366,1.49163,0.000270313,0.000270313,0.000270313
33,172.943,0.95476,1.76053,1.13028,0.01146,0.75,0.58042,0.43946,1.10346,3.30079,1.4915,0.000264596,0.000264596,0.000264596
34,177.785,0.94296,1.68184,1.11862,0.01146,0.75,0.58042,0.43946,1.10346,3.30079,1.4915,0.000257999,0.000257999,0.000257999
35,182.695,0.99093,1.92141,1.26578,0.01146,0.75,0.58042,0.43946,1.10346,3.30079,1.4915,0.000250522,0.000250522,0.000250522
36,187.868,1.08786,1.67595,1.15326,0.91231,0.25,0.62187,0.47262,1.1436,3.13603,1.48995,0.000242165,0.000242165,0.000242165
37,192.86,0.94059,1.95207,1.25276,0.91231,0.25,0.62187,0.47262,1.1436,3.13603,1.48995,0.000232928,0.000232928,0.000232928
38,197.721,1.08866,2.00097,1.25289,0.91231,0.25,0.62187,0.47262,1.1436,3.13603,1.48995,0.000222811,0.000222811,0.000222811
39,202.606,0.93621,1.62809,1.13421,0.90846,0.25,0.74625,0.57263,1.24386,2.97902,1.53753,0.000211814,0.000211814,0.000211814
40,207.356,0.88868,1.4303,1.15707,0.90846,0.25,0.74625,0.57263,1.24386,2.97902,1.53753,0.000199938,0.000199938,0.000199938
41,212.446,0.90322,2.09762,1.17966,0.90846,0.25,0.74625,0.57263,1.24386,2.97902,1.53753,0.000187181,0.000187181,0.000187181
42,217.295,1.08172,2.26023,1.34254,0.79235,0.5,0.74871,0.52769,1.34739,2.89154,1.60423,0.000173545,0.000173545,0.000173545
43,222.085,1.05989,1.99394,1.25502,0.79235,0.5,0.74871,0.52769,1.34739,2.89154,1.60423,0.000159029,0.000159029,0.000159029
44,226.984,1.09349,2.32619,1.35548,0.79235,0.5,0.74871,0.52769,1.34739,2.89154,1.60423,0.000143632,0.000143632,0.000143632
45,231.917,0.88523,1.89181,1.10603,0.79235,0.5,0.74871,0.52769,1.34739,2.89154,1.60423,0.000127356,0.000127356,0.000127356
46,236.918,1.12094,2.09995,1.30316,0.73836,0.75,0.75125,0.55359,1.39036,2.82167,1.6395,0.0001102,0.0001102,0.0001102
47,241.734,0.93695,1.78378,1.23412,0.73836,0.75,0.75125,0.55359,1.39036,2.82167,1.6395,9.21641e-05,9.21641e-05,9.21641e-05
48,246.463,0.89407,1.83025,1.18482,0.73836,0.75,0.75125,0.55359,1.39036,2.82167,1.6395,7.32482e-05,7.32482e-05,7.32482e-05
49,251.159,0.84453,1.8777,1.13239,0.73836,0.75,0.75125,0.55359,1.39036,2.82167,1.6395,5.34524e-05,5.34524e-05,5.34524e-05
50,255.977,1.00629,2.08018,1.18529,0.67735,0.75,0.75409,0.52781,1.39763,2.77582,1.63728,3.27767e-05,3.27767e-05,3.27767e-05
