epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.805,1.73804,3.70472,1.8302,0.92898,0.05455,0.24438,0.13222,1.38747,3.66876,1.64089,0.000364887,0.000364887,0.000364887
2,472.591,1.66561,2.88379,1.72131,0.58888,0.33627,0.37014,0.20937,1.58464,3.22336,1.80287,0.000720663,0.000720663,0.000720663
3,686.879,1.71905,2.69916,1.72833,0.71835,0.3869,0.4907,0.26443,1.9635,3.30027,2.08619,0.00106177,0.00106177,0.00106177
4,901.971,1.71365,2.50102,1.73139,0.60384,0.38312,0.47478,0.2496,1.81682,2.79072,1.9506,0.00104501,0.00104501,0.00104501
5,1119.39,1.69352,2.46193,1.69798,0.48925,0.4828,0.42007,0.22806,1.70187,4.2739,1.81745,0.00102301,0.00102301,0.00102301
6,1333.91,1.59584,2.25039,1.63847,0.52906,0.58804,0.5475,0.31543,1.75574,2.54188,1.9142,0.00100101,0.00100101,0.00100101
7,1553.18,1.56509,2.1434,1.63255,0.68727,0.42746,0.48706,0.29354,2.04704,2.91641,2.18736,0.000979013,0.000979013,0.000979013
8,1776.96,1.53597,2.03564,1.60772,0.67312,0.54414,0.57709,0.3603,1.57498,2.1982,1.69059,0.000957015,0.000957015,0.000957015
9,2003.22,1.49821,1.94379,1.52632,0.65232,0.58457,0.59607,0.36312,1.75593,2.37846,1.86792,0.000935018,0.000935018,0.000935018
10,2221.71,1.48266,1.84613,1.51313,0.88861,0.50525,0.62334,0.38088,1.63776,2.01217,1.7255,0.00091302,0.00091302,0.00091302
11,2448.85,1.44575,1.81567,1.5001,0.82055,0.54168,0.64322,0.39466,1.53676,1.93683,1.68239,0.000891022,0.000891022,0.000891022
12,2665.74,1.36027,1.70677,1.46425,0.68832,0.62913,0.64176,0.38352,1.55515,1.81224,1.78482,0.000869024,0.000869024,0.000869024
13,2879.49,1.3943,1.71834,1.4734,0.6355,0.56388,0.56193,0.34382,1.6456,2.10269,1.8065,0.000847026,0.000847026,0.000847026
14,3093.96,1.33923,1.61753,1.43892,0.85672,0.6157,0.67537,0.39742,1.56786,1.80558,1.81323,0.000825029,0.000825029,0.000825029
15,3307.14,1.31609,1.62103,1.42263,0.84823,0.60341,0.68157,0.38395,1.68777,1.81025,1.84687,0.000803031,0.000803031,0.000803031
16,3520.56,1.26822,1.50877,1.38788,0.88176,0.59015,0.68905,0.43897,1.81277,1.82583,1.87636,0.000781033,0.000781033,0.000781033
17,3738.88,1.26422,1.48825,1.38743,0.8079,0.67158,0.75712,0.48201,1.46002,1.62579,1.63935,0.000759035,0.000759035,0.000759035
18,3955.68,1.24674,1.43653,1.36515,0.93832,0.59748,0.74446,0.46244,1.65344,1.65977,1.79408,0.000737037,0.000737037,0.000737037
19,4173.76,1.22454,1.41368,1.33954,0.88563,0.63785,0.69909,0.4495,1.52018,1.73926,1.68206,0.00071504,0.00071504,0.00071504
20,4390.14,1.21073,1.41155,1.35089,0.82176,0.64089,0.7055,0.47139,1.56963,1.85618,1.67889,0.000693042,0.000693042,0.000693042
21,4606.5,1.15881,1.32502,1.30687,0.86053,0.59021,0.72037,0.50596,1.43903,1.68,1.54174,0.000671044,0.000671044,0.000671044
22,4823.9,1.20091,1.36438,1.35044,0.7132,0.57065,0.66652,0.43063,1.78225,2.07814,1.82643,0.000649046,0.000649046,0.000649046
23,5040.86,1.10823,1.28125,1.28191,0.82234,0.64406,0.706,0.46183,1.657,1.67197,1.84369,0.000627048,0.000627048,0.000627048
24,5258.38,1.1293,1.24858,1.28973,0.86224,0.56421,0.69152,0.45312,1.54364,1.80231,1.62886,0.000605051,0.000605051,0.000605051
25,5474.92,1.10379,1.23247,1.2866,0.82232,0.58384,0.65438,0.44555,1.48436,1.98096,1.56339,0.000583053,0.000583053,0.000583053
26,5690.95,1.08417,1.20557,1.27126,0.84055,0.59756,0.70473,0.45605,1.50115,1.67074,1.60943,0.000561055,0.000561055,0.000561055
27,5906.37,1.07466,1.14955,1.26041,0.74192,0.68808,0.74525,0.528,1.555,1.64231,1.65709,0.000539057,0.000539057,0.000539057
28,6121.39,1.04265,1.16092,1.24327,0.79627,0.61549,0.6685,0.46959,1.63312,1.78191,1.77896,0.000517059,0.000517059,0.000517059
29,6339.65,1.02173,1.11325,1.23847,0.852,0.64946,0.71519,0.48397,1.63311,1.64733,1.7884,0.000495062,0.000495062,0.000495062
30,6555.68,0.97914,1.0427,1.19604,0.79545,0.62277,0.69267,0.47512,1.61142,1.69769,1.64464,0.000473064,0.000473064,0.000473064
31,6770.32,1.01896,1.08206,1.22495,0.7316,0.68116,0.72324,0.47405,1.82518,1.76742,1.89825,0.000451066,0.000451066,0.000451066
32,6998.46,0.98002,1.03436,1.19658,0.8321,0.62999,0.72509,0.49455,1.57096,1.60911,1.72242,0.000429068,0.000429068,0.000429068
33,7219.32,0.96031,1.01407,1.18983,0.84127,0.64593,0.72823,0.46923,1.58412,1.68598,1.75536,0.00040707,0.00040707,0.00040707
34,7444.15,0.97177,1.02349,1.18608,0.7541,0.63935,0.6723,0.46336,1.54148,1.97357,1.76097,0.000385073,0.000385073,0.000385073
